"Name",Channel
"Muse",UCGGhM6XCSJFQ6DTRffnKRIw
"Lorde",UCVrPiUtl29kULN2HIAm244Q
"Cage the Elephant",UCNMceJPDpB-1ZQJzh2PZ1qw
"Wiz Khalifa",UCVp3nfGRxmMadNDuVbJSk8A
"Porter Robinson",UCXotYfmdCxPoQrgQsIY-Low
"Liam Gallagher",UCNY27UBgWgCkIkssC6VGZ7Q
"Migos",UCGIelM2Dj3zza3xyV3pL3WQ
"Spoon",UCuYzxeEUIoURBGtZyfZ1fBg
"Lil Uzi Vert",UCqwxMqUcL-XC3D9-fTP93Mg
"Jon Bellion",UCM8r8bIG7xKRGDEd7oSyxPQ
"George Ezra",UC9xncyB15xEnnWfgBp8wAeg
"Capital Cities",UCQraIhcLCFjoI4B1B9KcmRQ
"Kaytranada",UCwI6esi48QQDvnvEpnpULlg
"Baauer",UCOjd9CJ98WYqECnfURJJxRw
"The Drums",UCrp0s31p_rArZRodHzjB1TQ
"A-Trak",UCCtHrrAoMmLUNPaaz7BIQwQ
"Tritonal",UCU4gE6_3JrqOXBlA2npWiBw
"Gryffin",UCeqZi_19IJ0bNaGVugG7u7A
"CRX",UCHSvaQrqHSVrHuHy6mGmLPQ
"$uicideBoy$",UCU5AbNuMPGB491GcqXuzwKw
"Temples",UCKO0nhZ9JYpMrKnU4KQV2AA
"Hippo Campus",UCxuQozefIbixypusUenyoTQ
"Honne",UCW2D8YiBtwhNslRFKTr9Axw
"Cheat Codes",UCEXapuy8WGw4PTM14p9-zKw
"Kevin Devine",UCJPeo6yBIDDOV4s6BgXXQ3Q
"Paper Diamond",UCOLoJixSpsCiXRaGEVCic4A
"Middle Kids",UC7a02iB3ZrFi3Qwjr34RSmQ
"The Hunna",UC3U1k6n2HLZ2BlMoAXhNsEA
"Oliver Tree",UCHcb3FQivl6xCRcHC2zjdkQ
"Jain",UClH4iEV8a-0x2K889h7XWvg
"The O'My's",UCP0kFbPG2k15R0lwmDaKRdw
"Declan McKenna",UC2negrvcHbkYTG4ZIm7X9tA
"Unlike Pluto",UCa10nxShhzNrCE1o2ZOPztg
"Atlas Genius",UCQMGO_YpzXNAmsg4QK6zjGg
"Arizona",UCoQJcz3rOY-CbzM-t4CRioQ
"Gibbz",UCemO3HB-SbN0P6tltwV7EBQ
"Pham",UCSa8IUd1uEjlREMa21I3ZPQ
"Michael Blume",UCV7KB61pbf6OHfZu67Jp9sw
"Elohim",UCum0QnQ-lJsAjAOrMsckZeg
"Stanaj",UCx-xCsbTg0sWO3vdeCiZfjA
"Kweku Collins",UCckpNnX63sEZsuSdJ2-QNmA
"MAX",UCQIRM93QxhQ4pGm0cxuCXDw
"The Killers",UCjB3CzA-MwHrDzuXGweNiMg
"Blink-182",UCf2WBemooP2gBBx3lrraNQw
"DJ Snake",UCGkSXL5saM8y3VvJD_PdMFQ
"Run the Jewels",UCeveumRTn2o--9j1Xz2KUCQ
"Foster the People",UC-lkm1huv9jCUH28E7cKmew
"Ryan Adams",UC2OfrFkrYJRZfVPrcmUjh5w
"Gramatik",UCOBmBsfR8QjtICYaFWJiWyQ
"Phantogram",UCoWQja39K17_g8IimjThyLw
"Tegan and Sara",UCAHVrt4GYU5lmFwJun1iSDA
"Crystal Castles",UCf1EUMyT88kYBw9HYUZRIpA
"Kaleo",UCXqJrBG563pZnaqLoxHjUDg
"Little Dragon",UCxMNZhuVJC39GOCtUJmYaHQ
"3LAU",UC4ilcraqhU9uhpVxRHj4T6A
"Whitney",UCdrqrIa6sCvnDucHxOs1zrg
"Andrew McMahon in the Wilderness",UCNbH79VbcnubKaU9Jj6E20g
"Majid Jordan",UCiND3wemaDyaKjJAavm-h2A
"Getter",UC8iAV2sa8UQNXU__jVQpFzQ
"The Pretty Reckless",UCaq8VdD-YCXzTIrznMgwK6A
"Ookay",UC4WNt8se4h6GxPXQb7wd6KA
"The Districts",UCtJg6C-cU8WicXEpU_E535Q
"Pup",UCU-33byAz0Oo4RgMy-aEWQA
"Moose Blood",UCToUNe4i9j_SlKGFl8MrQHg
"Skott",UCHzp7qL6YDecpxVXi1cNReg
"The Lemon Twigs",UC-EJpYyZCMcgcEAlGl7x2mg
"Mondo Cozmo",UCdp2Batl5moRtxz-iPl592w
"San Holo",UC7r-MBEq8RRtFqta0g5DdPQ
"The Frights",UC-w6fgmHzC03F_UtKnhGNVw
"Saint Jhn",UCxmkHW42679-8rLTAsRyIgA
"Bibi Bourelly",UC273GcaS4M9DRKKvDrdxO7g
"Missio",UCR_yaRa36T8_YpVSpjoF-1Q
"Cobi",UClGAmGJUT4UqQPsIU9ZUtKw
"Moksi",UCa10nxShhzNrCE1o2ZOPztg
"Slothrust",UC21LJlc4q4d9rBZARkEYCeQ
"Allan Rayman",UCOdsDxKILn_aSpITSdBWOjQ
"Frenship",UCtct54TMYVjCk0LcOrFNsOg
"Harriet Brown",UC-2Hy_IWuKliEw4Q4v_sNjw
"Jesse Malin",UCU0frAbkYEYaU5RJI_QePMA
"Chance the Rapper",UCeXp3EC97_rUl_e2vgM3gLg
"The xx",UCD53U3HUF8CJW2cRdLzQexQ
"Alt-J",UCAMWWQQNQeD73DtiddfBrpg
"The Head and the Heart",UCC9TsJPWWkXLLY5kJdiQPtg
"Kaskade",UCSw6mt6ounKWBFoHby719sw
"Glass Animals",UCOMLtULLvoymORim06O1vaw
"Vance Joy",UC5z8qUMf_wvFoqEprUIYZoQ
"Mac DeMarco",UC8iv2t5g3Uwc9elUw4H4BNQ
"Russ",UCMC0rHAZ0KnayeGkSfRbVtg
"21 Savage",UCOjEHmBKwdS7joWpW0VrXkg
"Banks",UC31UIMFMhdGC_n6oWpESq6w
"Sylvan Esso",UCdAvFzyYUpPrWqlllBUuQhA
"Alison Wonderland",UCMBZ9EMR_xYt9zcLTLD4OxA
"Live",UCxzGNqpo8_FFKZ_bOaQnYpw
"Royal Blood",UCNkhZlHm1ccjIcDyt7W1Opg
"NGHTMRE",UCO8lgagfl3hp_Q1x9HPdfqw
"Warpaint",UCWcpoLpXEtIFnmFhwjA-nGg
"Highly Suspect",UCjdOz-gvWiu5IQLI4iA8LJg
"Zara Larsson",UC6MfFxrAK-e4HcgJROvDJDg
"Jai Wolf",UCXROBpRPerYW4yBFx2i3IBg
"Ephwurd",UCpDJl2EmP7Oh90Vylx0dZtA
Alvvays,UCFwM7mqRJQltXEduilGLHYg
"G Jones",UC3r6TUeTFP9HYMeuvzSEhwQ
"Aminé",UCaRVejD1K6HvPINeK2PGfEQ
"San Fermin",UCWi8UCuJcrkLdnZttICHQkQ
"The Japanese House",UCAplgHR0_FUPjnavj4-u0yw
"Léon",UCwwiMN0WWnJ2ZhK_YGuwIEQ
"The Shelters",UCKA6lWQCmEZFkPuPuqb8-ww
"Blossoms",UCC7E2CQsyW3i-nICeYX90lw
"Jacob Banks",UCG36u-k09zdIPQh5EEdVgTA
"The London Souls",UCW69vMnw75biUQHUkI-J9SA
"888",UCgWf8fRidiCb1_xGRgr7JSA
"Wingtip",UC6C6tS9gH64dqGJXbJdkfWQ
"Colony House",UCBUF-MQZylEu4m4ziKfGp4A
"Brayton Bowman",UCTrrAC_DGl-02RNeax6DF4g
"Lady Pills",UCRLZb8PpI9N7COmYqHiDH7A
"Arcade Fire",UCUiiO_bccZFMVmnJ2Jj95lg
"Justice",UCQ5Ssrs48yJBfOesfDqXUeA
"Big Sean",UC7zOpx9wgvGBCDEjujnAPQA
"The Shins",UC6kUoMWSO3oQWAJQrHYqwbA
"Zeds Dead",UCisDHuTS9LRbLTwrEAeYdsQ
"Rae Sremmurd",UCweazuUMMKdL2wwSyrxla9A
"Tove Lo",UC0sVahwZgKFHjOBaxvm-a7Q
"Milky Chance",UCy-ez61m5LdG3FQVr-4Crcw
"Grouplove",UCRaoFQgm9afWeKAfQ2xocSA
"DVBBS",UCs5FD38g36-OxxLutO6azwg
"Borgore",UCrHiP_tOJ0aGeG9HGbOKHdw
"Lil Yachty",UCNTu7P3IyRRKJtibrrXG0Yg
"London Grammar",UCgX66nFZQodWgTeNIMF_4Rw
"Rag'n'Bone Man",UCemsMvkKR1VDm5xtupQ9kyg
"Noname",UCp0gATorETNZ6ttOTMeV7jA
"Joey Bada$$",UC42LFWlZf-ooul-Kghq9DlA
"Charli XCX",UCOvEMf00DnwdkpOCRWdc6uA
"Car Seat Headrest",UCLGElt2TSebXf1VVJzhLQbw
"Slander",UC_D7aoxoyj5drj_1PKQNyMw
"Machine Gun Kelly",UC2a9zmrdjvLsrRgi4G4blWw
"6LACK",UCZCtgYHcNe944o9cca11Y9g
"Sampha",UCXHwpZVFBtFI5a-CYtSKd6w
"Maggie Rogers",UChfRct5EhDlJz9iCRiestyw
"NF",UCI3H1FsjbdqGcLq93ZilV5g
"Joyryde",UCLddKRSsA2eNfwnNVz6Onrg
"Joseph",UCslsl7XGr8Ehz6zbi4fl0kg
"Barns Courtney",UCOQhQVN8GaYU2VpuKFUIwhg
"VANT",UCn8BpCQ0F7pHY1mZB_nk3PQ
"Grace Mitchell",UCRFJKGSEkgfIyOLYLthuUvQ
"Blaenavon",UCkB81QCrYggMwRVacH32Wqg
"Lo Moon",UC38_hqXShzvXvejwdCYNDgw
"Dirty Audio",UCq9XcwwgSOiQeNnqpyuFrog
"Whethan",UCj_Y-xJ2DRDGP4ilfzplCOQ
"Sofi Tukker",UC4rasfm9J-X4jNl9SvXp8xA
"Xavier Omär",UCwOvdvxybz4V-K9VOgFtxxQ
"Boogie",UCpZbq470NeImMxg-s7zHXZA
"Wax Motif",UCl47q4MjEZg4b8M1bwyi2YA
"The Walters",UCm54E8Hlf_z1GIpVUChBTQA
"Duckwrth",UCsJdkVK4g8KCYY28xeUNyyw
"Spencer Ludwig",UCuq_oZsZ8dfkXoqNzohi2UA
"Flor",UClVrJwcIy7saPcGc1nct80A
"Goody Grace",UCC01Aqk7JPgJDu9pzGifKiA
"Tucker Beathard",UCMLIH99uAd2frNf2fmizzzw